epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.5556,1.63972,3.03638,1.86986,0.00333,1,0.72811,0.34621,1.46331,3.67065,1.82635,0.00012,0.00012,0.00012
2,161.75,1.55612,2.28669,1.68225,0.00682,0.96,0.62853,0.295,1.50123,3.37308,1.73078,0.00025142,0.00025142,0.00025142
3,243.089,1.49669,2.22716,1.60362,0.00333,1,0.52722,0.27894,1.56861,3.53882,1.77193,0.0003736,0.0003736,0.0003736
4,319.69,1.38685,2.03548,1.53979,0.00333,1,0.58836,0.30948,1.50686,3.5035,1.79244,0.00048654,0.00048654,0.00048654
5,400.713,1.51756,2.15032,1.63126,1,0.07424,0.47328,0.18591,1.97161,3.80031,2.24751,0.00059024,0.00059024,0.00059024
6,481.136,1.53557,1.98013,1.59998,0.5872,0.11488,0.36784,0.19176,1.6394,3.71288,1.97763,0.0006847,0.0006847,0.0006847
7,562.013,1.55386,1.90261,1.63665,0.17062,0.04,0.12139,0.05057,2.60206,4.71168,2.48195,0.00076992,0.00076992,0.00076992
8,641.802,1.55379,1.87503,1.60773,0.4853,0.22707,0.31545,0.15084,1.93348,3.6254,2.26254,0.0008459,0.0008459,0.0008459
9,726,1.35997,1.75088,1.5155,0.29406,0.30031,0.26991,0.11307,2.36375,4.11177,2.83856,0.00091264,0.00091264,0.00091264
10,807.136,1.59142,1.92161,1.67514,1,0.21706,0.37504,0.13375,2.3374,4.07606,2.91832,0.00097014,0.00097014,0.00097014
11,885.178,1.51611,1.79727,1.58942,0.42282,0.16,0.30244,0.15058,2.17518,3.65878,2.54852,0.0010184,0.0010184,0.0010184
12,963.115,1.5362,1.84614,1.52407,0.35182,0.4,0.25811,0.09593,2.44846,3.51928,2.79749,0.00105742,0.00105742,0.00105742
13,1038.1,1.4801,1.8524,1.59144,0.34397,0.48,0.35112,0.13321,2.53131,3.20939,2.71012,0.0010872,0.0010872,0.0010872
14,1112.17,1.39982,1.66111,1.54821,0.46293,0.56,0.46393,0.18242,2.23614,3.39207,2.64533,0.00110774,0.00110774,0.00110774
15,1189.72,1.47937,1.66903,1.54342,0.63786,0.52,0.47633,0.19707,2.1874,3.09891,2.54218,0.001076,0.001076,0.001076
16,1265.91,1.44801,1.70571,1.56442,0.44666,0.36,0.34035,0.1064,2.28736,3.08893,2.71546,0.00101,0.00101,0.00101
17,1341.18,1.50228,1.63709,1.56811,0.40337,0.4,0.36958,0.12361,2.34113,3.12524,2.66534,0.000944,0.000944,0.000944
18,1414.35,1.43617,1.66398,1.52965,0.6764,0.58569,0.61877,0.22516,2.13039,2.77737,2.26594,0.000878,0.000878,0.000878
19,1486.54,1.5123,1.68306,1.63466,0.82459,0.76,0.76495,0.32567,1.93139,2.25827,2.15078,0.000812,0.000812,0.000812
20,1580.71,1.28291,1.5242,1.41701,0.79999,0.76,0.8477,0.33081,1.90412,2.29881,2.16536,0.000746,0.000746,0.000746
21,1657.35,1.38202,1.88606,1.65964,0.56323,0.48,0.50762,0.20413,2.05034,2.94659,2.4136,0.00068,0.00068,0.00068
22,1733.46,1.44113,1.82047,1.6091,0.42779,0.32,0.32792,0.08112,2.43215,3.55988,3.00864,0.000614,0.000614,0.000614
23,1811.38,1.24024,1.69014,1.43121,0.58499,0.6,0.56453,0.24311,1.96864,2.73059,2.22027,0.000548,0.000548,0.000548
24,1888.06,1.1916,1.52601,1.37339,0.73794,0.56334,0.64932,0.35584,1.76609,2.27324,2.07331,0.000482,0.000482,0.000482
25,1968.25,1.21213,1.56293,1.38184,0.71376,0.6,0.66916,0.34423,1.73606,2.2137,2.03347,0.000416,0.000416,0.000416
26,2045.41,1.10972,1.4434,1.33683,0.72705,0.8,0.8252,0.35329,1.80891,2.15825,2.05976,0.00035,0.00035,0.00035
27,2122.84,1.08751,1.38067,1.28765,0.79588,0.68,0.71815,0.36622,1.73631,2.04488,2.01226,0.000284,0.000284,0.000284
28,2198.98,1.03444,1.43687,1.2844,0.81162,0.76,0.74242,0.38459,1.6756,2.02311,2.0084,0.000218,0.000218,0.000218
29,2280.16,1.21092,1.44435,1.41696,0.85321,0.8,0.79154,0.40454,1.66511,1.96815,1.99504,0.000152,0.000152,0.000152
30,2357.65,1.16575,1.41993,1.47373,0.81585,0.76,0.83536,0.41363,1.62518,1.98098,1.90123,8.6e-05,8.6e-05,8.6e-05
